event_name,lineup,event_link,event_date
 / TOM JAMES | JOSH SAVAGE,"Josh Savage,Tom James",http://berghain.de/event/2188,Wednesday 08 November 2017
 / TOMMY GENESIS,Abgesagt / Cancelled,http://berghain.de/event/2169,Tuesday 07 November 2017
 / SUBTEXT,"Cevdet Erek,Ellen Arkbro,Joshua Sabin,Yair Elazar Glotman,Emptyset,Fis and Pyur,Roly Porter",http://berghain.de/event/2175,Thursday 09 November 2017
 / THIS IS THE KIT,This Is The Kit,http://berghain.de/event/2096,Tuesday 07 November 2017
 / AU/RA,AU/RA,http://berghain.de/event/2187,Monday 06 November 2017
 / JONAS DAVID,Jonas David,http://berghain.de/event/2186,Friday 03 November 2017
 / ...GET PERLONIZED!,...get perlonized!,http://berghain.de/event/2173,Friday 03 November 2017
 / KLUBNACHT,"Korridor,Daniel Miller,Joy Orbison,Marcel Dettmann,Matrixxman,Peverelist,Stephanie Sykes,Volte-Face,ASOK,Denis Sulta,Dinky,Dolan Bergin,ItaloJohnson,Levon Vincent,Margaret Dygas,The Black Madonna",http://berghain.de/event/2174,Saturday 04 November 2017
 / BEDOUIN,"Constantine,Nene Hatun,Salem Rashid,Tzusing,Zodiak",http://berghain.de/event/2172,Thursday 02 November 2017
 / ARY,ARY,http://berghain.de/event/2185,Thursday 02 November 2017
 / ALLAN RAYMAN,Allan Rayman,http://berghain.de/event/2118,Wednesday 01 November 2017
 / THOMAS BRINKMANN RETROSPEKTIV,"Nicola Bonandrini,Ricardo Villalobos,Thomas Brinkmann,Jackmaster,Alex Downey",http://berghain.de/event/2152,Thursday 12 October 2017
 / JACOB BANKS | JOY CROOKES,"Jacob Banks,Joy Crookes",http://berghain.de/event/2052,Friday 13 October 2017
 / 5K HD | ALBERTINE SARGES,"Albertine Sarges,5K HD",http://berghain.de/event/2167,Monday 09 October 2017
 / WHITE WINE | SOFT GRID,"Soft Grid,White Wine",http://berghain.de/event/2005,Wednesday 11 October 2017
 / …GET PERLONIZED!,…get perlonized!,http://berghain.de/event/2150,Friday 06 October 2017
 / LALONOVA LABEL NIGHT,"Playpad Circus,Acrepearls,Peter Nikolai,Infidelix",http://berghain.de/event/2161,Saturday 07 October 2017
 / KLUBNACHT,"Len Faki,Cyrillic,Cleric,Nocow,Viers,Roman Poncet,Matrixxman b2b Setaoc Mass,Len Faki,Jeroen Search,Carlos de Brito,Automatic Tasty,Hammer,Stefan Goldmann,Virginia,DJ Sprinkles,Derrick Carter,Cormac",http://berghain.de/event/2151,Saturday 07 October 2017
 / BL_K NOISE,"Barker,Hypoxia,Richard Devine,Surachai,Alessandro Cortini",http://berghain.de/event/2149,Thursday 05 October 2017
